INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechEff_new,,,,,,
,,,,,,
Region,supplysector,subsector,technology,year,minicam.energy.input,efficiency
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2090,regional coal,0.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2095,regional coal,0.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2100,regional coal,0.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2020,regional coal,1.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2025,regional coal,2.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2030,regional coal,3.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2035,regional coal,4.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2040,regional coal,5.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2045,regional coal,6.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2050,regional coal,7.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2055,regional coal,8.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2060,regional coal,9.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2065,regional coal,10.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2070,regional coal,11.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2075,regional coal,12.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2080,regional coal,13.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2085,regional coal,14.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2090,regional coal,15.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2095,regional coal,16.4
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2100,regional coal,17.4
